Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
293,Stetson,18,11,7,.611,-2.89,0.11,,3,1,,6,0,,3,7,,1400,1265,,720,500,1085,.461,177,477,.371,223,271,.823,181,641,267,102,47,199,272
294,Stonehill,17,2,15,.118,-19.40,-0.65,,0,2,,2,4,,0,11,,1080,1353,,680,390,1000,.390,139,455,.305,161,234,.688,141,554,183,120,45,234,262
295,Stony Brook,16,8,8,.500,-5.48,-0.95,,1,2,,6,2,,2,6,,1142,1169,,650,413,975,.424,129,374,.345,187,272,.688,175,585,183,113,52,173,229
296,Syracuse,15,11,4,.733,10.53,7.32,,2,2,,8,0,,1,2,,1154,1060,,600,420,934,.450,102,318,.321,212,287,.739,157,562,211,146,78,186,228
297,Tarleton State,15,10,5,.667,-1.44,0.81,,3,1,,5,1,,3,4,,1063,975,,600,399,894,.446,76,256,.297,189,255,.741,183,522,189,140,52,183,259
298,TCU,15,12,3,.800,15.57,-1.64,,1,1,,8,0,,2,1,,1276,1018,,600,467,948,.493,91,277,.329,251,335,.749,183,585,284,160,62,184,259
299,Temple,16,8,8,.500,-2.72,-0.52,,1,2,,4,3,,2,2,,1159,1162,,655,389,1016,.383,139,461,.302,242,333,.727,193,610,181,127,43,168,254
300,Tennessee,15,11,4,.733,21.33,8.19,,1,1,,8,0,,1,2,,1174,977,,600,407,926,.440,130,387,.336,230,299,.769,180,590,256,121,70,165,260
301,Tennessee State,17,8,9,.471,-8.73,-3.34,,1,3,,6,1,,1,7,,1299,1254,,685,459,1042,.440,125,383,.326,256,347,.738,196,620,217,116,51,221,318
302,Tennessee Tech,17,6,11,.353,-12.84,-2.19,,1,3,,4,4,,2,7,,1199,1303,,685,431,950,.454,115,358,.321,222,311,.714,99,540,211,85,51,203,242
303,Tennessee-Martin,17,9,8,.529,-7.68,-3.91,,2,2,,5,2,,4,5,,1414,1356,,690,508,1133,.448,155,431,.360,243,327,.743,174,716,233,119,46,213,250
304,Texas,15,12,3,.800,13.23,1.03,,1,1,,9,1,,1,1,,1170,987,,600,431,893,.483,110,301,.365,198,267,.742,163,562,245,104,83,181,248
305,Texas A&M,15,9,6,.600,13.83,7.30,,0,2,,5,2,,2,2,,1098,1000,,600,379,946,.401,95,365,.260,245,345,.710,275,644,179,118,41,159,240
306,Texas A&M-Commerce,15,6,9,.400,-10.48,4.69,,0,2,,5,2,,1,7,,1117,1120,,610,406,925,.439,142,443,.321,163,235,.694,140,494,242,131,83,189,273
307,Texas A&M-Corpus Christi,15,9,6,.600,-5.98,-2.43,,2,0,,6,1,,3,4,,1156,996,,610,428,980,.437,83,297,.279,217,321,.676,216,632,238,154,43,186,325
308,Texas Southern,13,3,10,.231,-10.98,4.11,,1,1,,1,1,,1,8,,827,972,,520,309,830,.372,87,297,.293,122,186,.656,155,475,150,91,50,159,243
309,Texas State,16,6,10,.375,-5.57,2.15,,0,4,,3,2,,3,6,,1125,1142,,640,416,939,.443,81,252,.321,212,322,.658,203,595,211,106,59,219,305
310,Texas Tech,15,13,2,.867,15.26,1.66,,2,0,,9,0,,1,1,,1182,978,,605,410,872,.470,130,353,.368,232,299,.776,154,547,232,89,52,160,207
311,Texas-Rio Grande Valley,16,5,11,.313,-10.89,-0.25,,1,4,,4,3,,1,6,,1206,1285,,650,414,957,.433,84,291,.289,294,429,.685,177,564,223,146,59,245,321
312,The Citadel,16,8,8,.500,-3.53,-2.61,,0,3,,4,3,,2,5,,1157,1093,,640,418,910,.459,109,321,.340,212,294,.721,167,599,184,83,49,189,217
313,Toledo,15,9,6,.600,2.80,1.74,,3,0,,5,2,,4,1,,1190,1174,,600,426,889,.479,91,244,.373,247,319,.774,150,487,197,114,41,174,238
314,Towson,16,9,7,.563,-0.89,0.25,,2,1,,7,0,,2,2,,1065,1031,,655,378,916,.413,101,316,.320,208,330,.630,249,646,168,101,72,209,263
315,Troy,16,10,6,.625,-0.65,-2.03,,4,0,,9,1,,1,5,,1302,1127,,655,444,1010,.440,146,417,.350,268,367,.730,228,646,242,163,51,232,317
316,Tulane,15,10,5,.667,7.36,0.29,,1,2,,8,2,,1,1,,1301,1172,,610,438,864,.507,116,327,.355,309,421,.734,95,492,229,148,62,168,242
317,Tulsa,15,9,6,.600,0.77,-4.66,,0,3,,9,1,,0,4,,1134,1017,,605,374,863,.433,118,359,.329,268,366,.732,156,554,188,132,54,213,254
318,UAB,15,10,5,.667,-1.46,-0.75,,2,0,,6,3,,3,1,,1160,1134,,610,392,899,.436,87,278,.313,289,387,.747,207,586,191,107,71,176,236
319,UC Davis,16,9,7,.563,1.33,-2.67,,4,1,,6,3,,2,4,,1186,1072,,645,410,884,.464,126,341,.370,240,342,.702,163,531,214,124,57,230,322
320,UC Irvine,17,12,5,.706,8.55,1.17,,5,0,,6,0,,3,5,,1308,1130,,685,481,999,.481,103,278,.371,243,330,.736,174,647,283,105,60,211,316
321,UC Riverside,17,7,10,.412,-5.94,0.46,,2,3,,6,2,,0,8,,1184,1227,,681,425,1080,.394,136,462,.294,198,279,.710,218,635,238,94,24,159,302
322,UC San Diego,16,10,6,.625,3.53,-0.83,,4,0,,7,1,,3,4,,1237,1086,,645,431,937,.460,149,411,.363,226,297,.761,155,558,218,101,50,165,253
323,UC Santa Barbara,15,9,6,.600,-3.79,-4.33,,2,3,,6,2,,2,4,,1165,1096,,605,423,830,.510,90,244,.369,229,330,.694,134,571,215,58,59,210,234
324,UCLA,16,6,10,.375,2.82,4.42,,1,4,,4,4,,1,3,,1027,1023,,640,366,893,.410,68,241,.282,227,319,.712,173,565,179,101,55,196,309
325,UNC Asheville,18,10,8,.556,-2.87,-0.54,,2,1,,6,1,,1,5,,1483,1354,,730,492,1067,.461,153,420,.364,346,468,.739,201,665,296,109,73,228,330
326,UNC Greensboro,16,11,5,.688,0.33,-0.95,,2,1,,7,0,,1,5,,1240,1112,,645,455,978,.465,159,414,.384,171,249,.687,164,614,249,108,37,174,282
327,UNC Wilmington,15,10,5,.667,0.28,0.53,,1,2,,4,0,,5,4,,1225,1084,,605,417,908,.459,128,365,.351,263,345,.762,149,519,179,96,35,131,274
328,UT Arlington,16,7,9,.438,-1.92,4.30,,2,3,,6,1,,0,8,,1171,1190,,640,396,924,.429,141,412,.342,238,339,.702,197,608,253,105,59,250,311
329,Utah,16,12,4,.750,19.90,8.90,,3,2,,9,0,,1,2,,1295,1119,,640,478,998,.479,140,372,.376,199,289,.689,166,637,288,115,73,190,246
330,Utah State,16,15,1,.938,15.02,2.45,,3,0,,8,0,,3,1,,1305,1045,,645,480,956,.502,95,302,.315,250,355,.704,173,607,281,129,69,180,275
